"Player Name","Age","Position","Pos","Market values","Fee","Team_Name","Club_Logo_URL","Transfer_Type"
"Mandar Rao DesaiM. Desai",31,"Left-Back","LB","<U+20B9>1.4 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Saúl CrespoS. Crespo",26,"Central Midfield","CM","<U+20B9>3.2 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Javi SiverioJ. Siverio",25,"Centre-Forward","CF","<U+20B9>2.6 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Borja HerreraB. Herrera",30,"Attacking Midfield","AM","<U+20B9>2.4 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Edwin Sydney VanspaulE. Vanspaul",30,"Right-Back","RB","<U+20B9>1.2 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Nishu KumarN. Kumar",25,"Left-Back","LB","<U+20B9>1.4 Cr","loan transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Ajay ChhetriA. Chhetri",24,"Mittelfeld","Mittelfeld","<U+20B9>1 Cr","loan transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"CK AmanCK Aman",20,"Striker","Striker","-","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Julfikar GaziJ. Gazi",17,"Goalkeeper","GK","-","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Aditya PatraA. Patra",23,"Goalkeeper","GK","-","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Sarthak GoluiS. Golui",26,"Right-Back","RB","<U+20B9>80 L","End of loanMay 31, 2024","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Arrivals"
"Semboi HaokipS. Haokip",30,"Centre-Forward","CF","<U+20B9>60 L","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Sumeet PassiS. Passi",28,"Centre-Forward","CF","<U+20B9>40 L","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Pritam SinghP. Singh",27,"Left-Back","LB","<U+20B9>20 L","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Wahengbam Angousana LuwangW. Luwang",27,"Defensive Midfield","DM","<U+20B9>40 L","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Jerry LalrinzualaJ. Lalrinzuala",24,"Left-Back","LB","<U+20B9>1 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Jake JervisJ. Jervis",31,"Right Winger","RW","<U+20B9>1.6 Cr","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Ankit MukherjeeA. Mukherjee",26,"Right-Back","RB","<U+20B9>60 L","free transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Sarthak GoluiS. Golui",25,"Right-Back","RB","<U+20B9>80 L","loan transfer","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Pawan KumarP. Kumar",33,"Goalkeeper","GK","<U+20B9>20 L","?","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Nabi Hussain KhanN. Khan",25,"Right-Back","RB","-","?","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Iván GonzálezI. González",33,"Centre-Back","CB","<U+20B9>1.8 Cr","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Charalampos KyriakouC. Kyriakou",33,"Central Midfield","CM","<U+20B9>1.8 Cr","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Jordan O'DohertyJ. O'Doherty",25,"Central Midfield","CM","<U+20B9>2.4 Cr","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Suvam SenSuvam Sen",33,"Goalkeeper","GK","<U+20B9>20 L","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Alex LimaAlex Lima",34,"Central Midfield","CM","<U+20B9>2.2 Cr","-","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Ajay ChhetriA. Chhetri",24,"Mittelfeld","Mittelfeld","<U+20B9>1 Cr","End of loanMay 31, 2024","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Nishu KumarN. Kumar",26,"Left-Back","LB","<U+20B9>1.4 Cr","End of loanMay 31, 2024","East Bengal FC","https://www.indiansuperleague.com/static-assets/images/club/1102.png?v=100.33","Departures"
"Aibanbha DohlingA. Dohling",27,"Left-Back","LB","<U+20B9>1.8 Cr","<U+20B9>1.4 Cr","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Prabir DasP. Das",29,"Right-Back","RB","<U+20B9>1.6 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Emmanuel JustineE. Justine",20,"Right Winger","RW","-","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Milos DrincicM. Drincic",24,"Centre-Back","CB","<U+20B9>1.8 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Bidyashagar SinghB. Singh",25,"Centre-Forward","CF","<U+20B9>60 L","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Ishan PanditaI. Pandita",25,"Centre-Forward","CF","<U+20B9>1.8 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Pritam KotalP. Kotal",29,"Right-Back","RB","<U+20B9>2.2 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Daisuke SakaiD. Sakai",26,"Right Winger","RW","<U+20B9>1.6 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Kwame PeprahK. Peprah",22,"Centre-Forward","CF","<U+20B9>4.8 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Sagolsem Bikash SinghS. Singh",22,"Left Winger","LW","<U+20B9>1 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Freddy LallawmawmaF. Lallawmawma",21,"Defensive Midfield","DM","<U+20B9>1.4 Cr","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Huidrom Naocha SinghH. Singh",23,"Left-Back","LB","<U+20B9>1.4 Cr","loan transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Lara SharmaL. Sharma",23,"Goalkeeper","GK","<U+20B9>40 L","loan transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Bijoy VBijoy V",24,"Centre-Back","CB","<U+20B9>40 L","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Mohd ArbazM. Arbaz",18,"Goalkeeper","GK","-","?","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Jaushua SotirioJ. Sotirio",27,"Centre-Forward","CF","<U+20B9>3.6 Cr","?","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Muhammad AjsalM. Ajsal",21,"Striker","Striker","-","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Sagolsem Bikash SinghS. Singh",23,"Left Winger","LW","<U+20B9>1 Cr","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Nishu KumarN. Kumar",26,"Left-Back","LB","<U+20B9>1.4 Cr","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Givson SinghG. Singh",21,"Attacking Midfield","AM","<U+20B9>60 L","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Emmanuel JustineE. Justine",21,"Right Winger","RW","-","End of loanMay 31, 2024","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Arrivals"
"Prabhsukhan Singh GillP. Singh Gill",22,"Goalkeeper","GK","<U+20B9>2 Cr","<U+20B9>1.5 Cr","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Sahal Abdul SamadS. Samad",26,"Attacking Midfield","AM","<U+20B9>2.2 Cr","<U+20B9>90 L","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Ayush AdhikariA. Adhikari",23,"Central Midfield","CM","<U+20B9>60 L","<U+20B9>55 L","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Emmanuel JustineE. Justine",20,"Right Winger","RW","-","Loan fee:<U+20B9>22.1 L","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Jessel CarneiroJ. Carneiro",33,"Left-Back","LB","<U+20B9>60 L","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Harmanjot KhabraH. Khabra",35,"Right-Back","RB","<U+20B9>40 L","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Muheet ShabirM. Shabir",22,"Goalkeeper","GK","<U+20B9>40 L","free transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Nishu KumarN. Kumar",25,"Left-Back","LB","<U+20B9>1.4 Cr","loan transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Givson SinghG. Singh",21,"Attacking Midfield","AM","<U+20B9>60 L","loan transfer","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Sreekuttan M SS. M S",18,"Centre-Forward","CF","<U+20B9>20 L","-","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Denechandra MeiteiD. Meitei",29,"Left-Back","LB","<U+20B9>60 L","-","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Apostolos GiannouA. Giannou",33,"Centre-Forward","CF","<U+20B9>1.8 Cr","-","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
"Víctor MongilV. Mongil",30,"Centre-Back","CB","<U+20B9>2 Cr","-","Kerala Blasters FC","https://www.indiansuperleague.com/static-assets/images/club/498.png?v=100.33","Departures"
